year,sex,place,age_group,population
2025,male,harju_county,75-79,7649
2025,male,harju_county,80-84,4470
2025,male,harju_county,85-89,2848
2025,male,harju_county,90-94,852
2025,male,harju_county,95-99,166
2025,male,harju_county,85_plus,3874
2025,male,harju_county,100_plus,8
2025,female,whole_country,total,720242
2025,female,whole_country,0-4,29795
2025,female,whole_country,5-9,36698
2025,female,whole_country,10-14,37719
2025,female,whole_country,15-19,38277
2025,female,whole_country,20-24,33839
2025,female,whole_country,25-29,33051
2025,female,whole_country,30-34,42426
2025,female,whole_country,35-39,51988
2025,female,whole_country,40-44,48789
2025,female,whole_country,45-49,46132
2025,female,whole_country,50-54,46921
2025,female,whole_country,55-59,43496
2025,female,whole_country,60-64,46642
2025,female,whole_country,65-69,47537
2025,female,whole_country,70-74,43337
2025,female,whole_country,75-79,35244
2025,female,whole_country,80-84,26550
2025,female,whole_country,85-89,21010
2025,female,whole_country,90-94,8422
2025,female,whole_country,95-99,2146
2025,female,whole_country,85_plus,31801
2025,female,whole_country,100_plus,223
2025,female,harju_county,total,340510
2025,female,harju_county,0-4,14747
2025,female,harju_county,5-9,18224
2025,female,harju_county,10-14,18391
2025,female,harju_county,15-19,18281
2025,female,harju_county,20-24,15701
2025,female,harju_county,25-29,17114
2025,female,harju_county,30-34,22971
2025,female,harju_county,35-39,28653
2025,female,harju_county,40-44,26638
2025,female,harju_county,45-49,24199
2025,female,harju_county,50-54,21903
2025,female,harju_county,55-59,18367
2025,female,harju_county,60-64,19676
2025,female,harju_county,65-69,19938
2025,female,harju_county,70-74,18149
2025,female,harju_county,75-79,14835
2025,female,harju_county,80-84,10384
2025,female,harju_county,85-89,8384
2025,female,harju_county,90-94,3084
2025,female,harju_county,95-99,784
2025,female,harju_county,85_plus,12339
2025,female,harju_county,100_plus,87
